,cbSize,cioengine,ciodepth,crw,cnproc,cdevice,cdirect,cmemlim,cmemlim_bytes,readBW_bytes,readBW,writeBW_bytes,writeBW,avgreadlat_ns,avgreadlat,avgwritelat_ns,avgwritelat,USR_UTIL_perc,SYS_UTIL_perc,IOW_UTIL_perc,IDL_UTIL_perc,CPU_UTIL_perc
57,4096,mmap,1,randwrite,64,zram,0,128M,134217728,0,0.0 B,9689717531,9.0 GB,0.0,0.0 ns,11566.61871,11.6 µs,3.62333,41.3433,0.0,55.03,44.97
58,4096,mmap,1,randwrite,64,ssd,1,128M,134217728,0,0.0 B,1186823887,1.1 GB,0.0,0.0 ns,207050.043715,207.1 µs,0.745357,6.14571,41.4643,51.6396,48.3604
59,4096,mmap,1,randwrite,64,zram,1,128M,134217728,0,0.0 B,1202019883,1.1 GB,0.0,0.0 ns,101251.119606,101.3 µs,0.601429,46.9411,0.00178571,52.4339,47.5661
60,4096,mmap,1,randwrite,64,ssd,0,16M,16777216,0,0.0 B,1684879045,1.6 GB,0.0,0.0 ns,143152.353755,143.2 µs,0.9525,6.997,39.4805,52.565,47.435
61,4096,mmap,1,randwrite,64,zram,0,16M,16777216,0,0.0 B,9761289309,9.1 GB,0.0,0.0 ns,11819.54152,11.8 µs,4.31667,41.0,0.0,54.68,45.32
62,4096,mmap,1,randwrite,64,ssd,1,16M,16777216,0,0.0 B,1203029948,1.1 GB,0.0,0.0 ns,204107.371789,204.1 µs,0.798929,6.26107,41.4771,51.4579,48.5421
63,4096,mmap,1,randwrite,64,zram,1,16M,16777216,0,0.0 B,1183145840,1.1 GB,0.0,0.0 ns,104244.893169,104.2 µs,0.601429,48.0164,0.0025,51.3579,48.6421
64,4096,mmap,1,randwrite,64,ssd,0,1G,1073741824,0,0.0 B,1669812818,1.6 GB,0.0,0.0 ns,143308.910445,143.3 µs,1.027,7.5765,38.2245,53.156,46.844
65,4096,mmap,1,randwrite,64,zram,0,1G,1073741824,0,0.0 B,9251410438,8.6 GB,0.0,0.0 ns,12870.54115,12.9 µs,4.58333,40.9167,0.0,54.5,45.5
66,4096,mmap,1,randwrite,64,ssd,1,1G,1073741824,0,0.0 B,1179166696,1.1 GB,0.0,0.0 ns,208517.340477,208.5 µs,0.914286,6.14786,41.5875,51.3464,48.6536
67,4096,mmap,1,randwrite,64,zram,1,1G,1073741824,0,0.0 B,1160370753,1.1 GB,0.0,0.0 ns,105336.764683,105.3 µs,0.594828,47.8662,0.00137931,51.501,48.499
68,4096,mmap,1,randwrite,64,ssd,0,256M,268435456,0,0.0 B,1676330115,1.6 GB,0.0,0.0 ns,144145.320598,144.1 µs,0.966316,7.42526,39.2089,52.3874,47.6126
69,4096,mmap,1,randwrite,64,zram,0,256M,268435456,0,0.0 B,9253902065,8.6 GB,0.0,0.0 ns,12586.017635,12.6 µs,4.12,41.26,0.0,54.6167,45.3833
70,4096,mmap,1,randwrite,64,ssd,1,256M,268435456,0,0.0 B,1187849628,1.1 GB,0.0,0.0 ns,206853.597762,206.9 µs,0.756786,6.05036,41.2854,51.9021,48.0979
71,4096,mmap,1,randwrite,64,zram,1,256M,268435456,0,0.0 B,1174611594,1.1 GB,0.0,0.0 ns,98681.414184,98.7 µs,0.601071,48.145,0.00571429,51.2314,48.7686
72,4096,mmap,1,randwrite,64,ssd,0,32M,33554432,0,0.0 B,1690932006,1.6 GB,0.0,0.0 ns,142673.806723,142.7 µs,0.996316,7.33211,38.2063,53.4521,46.5479
73,4096,mmap,1,randwrite,64,zram,0,32M,33554432,0,0.0 B,9221615235,8.6 GB,0.0,0.0 ns,12347.669986,12.3 µs,3.95,41.49,0.0,54.56,45.44
74,4096,mmap,1,randwrite,64,ssd,1,32M,33554432,0,0.0 B,1180300861,1.1 GB,0.0,0.0 ns,208026.845277,208.0 µs,0.872143,6.2425,41.3132,51.5671,48.4329
75,4096,mmap,1,randwrite,64,zram,1,32M,33554432,0,0.0 B,1158219455,1.1 GB,0.0,0.0 ns,105500.795178,105.5 µs,0.564828,47.8997,0.012069,51.5003,48.4997
76,4096,mmap,1,randwrite,64,ssd,0,512M,536870912,0,0.0 B,1671518698,1.6 GB,0.0,0.0 ns,144117.33835,144.1 µs,1.1075,7.0345,40.0355,51.8145,48.1855
77,4096,mmap,1,randwrite,64,zram,0,512M,536870912,0,0.0 B,10046707125,9.4 GB,0.0,0.0 ns,11376.514995,11.4 µs,2.855,40.02,0.0,57.12,42.88
78,4096,mmap,1,randwrite,64,ssd,1,512M,536870912,0,0.0 B,1178438740,1.1 GB,0.0,0.0 ns,208651.68289,208.7 µs,0.798571,6.1175,41.2682,51.8125,48.1875
79,4096,mmap,1,randwrite,64,zram,1,512M,536870912,0,0.0 B,1078866439,1.0 GB,0.0,0.0 ns,115246.213894,115.2 µs,0.507742,48.1816,0.00258065,51.289,48.711
80,4096,mmap,1,randwrite,64,ssd,0,64M,67108864,0,0.0 B,1735165052,1.6 GB,0.0,0.0 ns,138644.696926,138.6 µs,0.997895,7.61526,38.3142,53.0589,46.9411
81,4096,mmap,1,randwrite,64,zram,0,64M,67108864,0,0.0 B,9968012291,9.3 GB,0.0,0.0 ns,11473.775979,11.5 µs,3.505,39.545,0.0,56.95,43.05
82,4096,mmap,1,randwrite,64,ssd,1,64M,67108864,0,0.0 B,1175897959,1.1 GB,0.0,0.0 ns,209080.550053,209.1 µs,0.762143,6.02571,41.2321,51.9764,48.0236
83,4096,mmap,1,randwrite,64,zram,1,64M,67108864,0,0.0 B,1190731160,1.1 GB,0.0,0.0 ns,102357.400432,102.4 µs,0.584643,47.6579,0.00178571,51.7471,48.2529
