,cbSize,cioengine,ciodepth,crw,cnproc,cdevice,cdirect,cmemlim,readBW_bytes,readBW,writeBW_bytes,writeBW,avgreadlat_ns,avgreadlat,avgwritelat_ns,avgwritelat,USR_UTIL(%),SYS_UTIL(%),IOW_UTIL(%),IDL_UTIL(%),CPU_UTIL(%)
43,4096,libaio,64,randrw,1,zram,1,none,255739302,243.9 MB,255634815,243.8 MB,452465.133196,452.5 µs,460005.124603,460.0 µs,0.198485,0.813182,0.000151515,98.9892,1.01076
44,4096,mmap,1,randrw,1,ssd,1,none,24885199,23.7 MB,24875032,23.7 MB,73654.642757,73.7 µs,89903.155423,89.9 µs,0.0299421,0.09589,0.757033,99.1193,0.880695
45,4096,mmap,1,randrw,1,zram,1,none,180750202,172.4 MB,180676353,172.3 MB,6013.462024,6.0 µs,15875.153709,15.9 µs,0.134316,0.825053,0.000315789,99.0401,0.959895
46,4096,sync,1,randrw,1,ssd,1,none,47847906,45.6 MB,47828357,45.6 MB,69727.967939,69.7 µs,14748.133346,14.7 µs,0.0384358,0.0588827,0.782793,99.1216,0.878436
47,4096,sync,1,randrw,1,zram,1,none,315540324,300.9 MB,315411405,300.8 MB,2300.216049,2.3 µs,9681.070072,9.7 µs,0.195283,0.811132,0.000188679,98.9921,1.00792
48,4096,io_uring,128,randrw,32,ssd,1,none,1699198189,1.6 GB,1699727358,1.6 GB,4702915.82646,4.7 ms,5102776.318225,5.1 ms,1.88556,2.80222,22.9678,72.3378,27.6622
49,4096,io_uring,128,randrw,32,zram,1,none,1939829982,1.8 GB,1940434090,1.8 GB,5067871.071364,5.1 ms,3492255.052584,3.5 ms,2.23625,29.4775,15.705,52.5775,47.4225
50,4096,io_uring,64,randrw,32,ssd,1,none,1678607885,1.6 GB,1679130643,1.6 GB,2290950.212242,2.3 ms,2667934.875252,2.7 ms,1.53111,2.71444,23.2267,72.5233,27.4767
51,4096,io_uring,64,randrw,32,zram,1,none,1933062626,1.8 GB,1933664626,1.8 GB,2532287.811173,2.5 ms,1747960.053787,1.7 ms,1.945,29.5125,16.0362,52.505,47.495
52,4096,libaio,128,randrw,32,ssd,1,none,1669958632,1.6 GB,1670478696,1.6 GB,4782650.315963,4.8 ms,5167416.290748,5.2 ms,3.46778,7.77,0.00222222,88.7578,11.2422
